
Boahji	pole-star
heaŋggas	suspended state (= hæŋˈgâgâs)
heaŋggastit	hang up (a single thing)
heaŋggu	overhanging cliff
heaŋgut	hang up several things
heaŋgádeahkki	muscle between the femur and the hind leg of a reindeer
heaŋgát	hang (intr.)
hebreálaš	Hebrew
hehkke	framework for hay on a sledge
hehpoštaddat	play horses
hehttedit	contin. of hetˈtit
hehttot	be compelled to
hei	expression of surprise or annoyance
heila	whole
heillodit	contin. of hæiˈlot
heitojupmi	abolition
helbmo	name of a cow born in February
helbmo	pearl; bead
hellehit	make a deviation from the rule
helloduorastat	Ascension Day
helpet	make the work easier for (by helping); be a help to
helssodit	contin. of hælˈsot
helvet	hell
herkken	stirring-stick (usually spade-shaped)
herskui	fastidious about food
hervvohallat	freq. of hǣrvâtit
heŋge	overhanging cliff
heŋggiidit	begin to hang down (intr.)
heŋgo	overhanging cliff (= heŋˈgi)
hieibma	gentle puff of wind
hieibmat	blow very gently (impers.)
hieimmastit	begin to blow very gently
hierdašuvvat	be worn out unnecessarily
hievganit	get overburdened with work
hihtat	a small kind of gnat (= hiđâš)
hihttát	ski
hihtut	get or become slow
hihtásit	slowly
hiida	hell (only in swearing)
hiistalit	make a bet with someone; make a bet with each other
hiistu	bet
hilbbasmit	become wilder etc.
hilbbasmuvvat	become wilder etc. (= hilbâsmit)
hilcasit	go somewhere like a hilˈco
hilcudit	behave like a hilˈco
hildu	shelf
hiljášit	consider slow or self-controlled
hiljážii	little by little
hillaruovssut	bright red fox
hilljudit	caus. of hilˈljot
hilsku	Stellaria media (chickweed)
hiltedit	be thinking a little of doing something; show signs of wanting to
himihit	chuckle; express surprise or disbelief
hipmudit	have a desire for something
hirre	dog's name
hirrehastit	wedge a little wooden peg into a larger peg
hirri	something which sticks out in all directions
historjá	history
hivgit	cause the taste to come up into one's mouth again a little while after one has eaten
hivludit	cause to hiwˈlot
hivsset	(earth)-closet
hivvi	good fellow (ironical)
hiđaš	a small kind of gnat
hiđásmit	get slow(er)
hiđásmuvvat	get slow(er) (= hiđasmit)
hiŋggal	stall
hiŋkkan	one who is constantly sobbing etc.
hiŋkkašit	dimin.-contin. of hiŋˈket
hiŋkkihit	caus. of hiŋˈket
hiŋkkádit	limp (once)
hiŋkálas	apt to hiŋˈket
ho	hoy
ho	the letter ’h’
hoagan	one who is always saying he is going to do something but does not do it
hoagihit	suddenly hint once that one wants to do something
hoahkat	hint that one wants to do something
hoahkidit	constantly hoakkât
hoahkka	Squalus acanthias (piked dog-fish)
hoaktálas	apt to hoakˈtet
hoalddaheapme	unable to hold (fast); weak (e. g. of the sick)
hoalddahuvvat	become unable to hold (fast) (e. g. of a screw); become weak (e. g. of the sick)
hoalka	ferrule (e. g. on the handle of a knife)
hoalkadit	put a ferrule on (e. g. on the handle of a knife)
hoassat	work vigorously and efficiently (of work which entails energetic use of the arms)
hoavkkáiduvvat	become feeble-minded; get into one's second childhood
hoavrut	get more and more in one's second childhood
hoavránit	set out on a useless expedition
hohpolaš	hot-tempered (= hopˈpui)
hohppui	hot-tempered
hoi	oh (exclamation of fatigue)
hoi	particle added to nominatives used vocatively (= ai)
hoiggahit	caus. of hoiˈgât
holbat	put an edging round the bottom of a kofte
holbbis	material for a holˈbe
holbádit	put an edging round the bottom of a kofte
holga	horizontally placed bar or pole (for hanging something on or as a support for something); any one of the bars running lengthwise on a frame for drying fish; any one of the four horizontal bars in the walls of a Lapp hut with rafters
holket	put a ferrule on (e. g. on the handle of a knife)
holve	gallery (in a church)
holvolas	apt to holˈvot (of dogs and children)
holvut	howl
holvvas	howling
holvvodit	contin. of holˈvot
holvvádit	give a howl
honet	honey
horbmá	Epilobium angustifolium (rose-bay willow-herb)
horsta	sacking
horti	large dog with pendulous ears (e. g. a sporting dog)
hovkkehuvvat	become feeble-minded; get into one's second childhood (= hoawkaiduvvât)
hovkkiidit	become feeble-minded; get into one's second childhood (= hoawkaiduvvât)
hovkkiiduvvat	become feeble-minded; get into one's second childhood (= hoawkaiduvvât)
hoŋket	cut a hoaŋˈkâ on a reindeer's ear
hubat	reindeer both of whose ears have been cut very short in marking them (usually a reindeer which has been remarked)
huhccalit	once set a dog on
huhcuhit	several times set a dog on
huhpanit	die by drowning or suffocation
huhpat	spoil (a reindeer's ear) by mark which takes away an unreasonable amount of the ear
huhppá	reindeer both of whose ears have been cut very short in marking them (= hubâk)
hui	cry shouted to the reindeer to make them go faster
huiggirdit	sing or hum out of tune and in an ugly way
huikkan	one who keeps on shouting
huikkanas	(a single) shout
huikkas	(continuous) shouting
huikkihit	get someone to shout
huikkihit	suddenly shout once (= huikadit)
huikkádit	suddenly shout once
hukset	build (of wood)
hulaidit	hum
huleštit	talk in a low soft voice (= hullât)
hullat	talk in a low soft voice
humihit	mom. of hubmât
huncadit	be restless (of animals which want to go somewhere); want to start
huncá	female reindeer which will not stand still to be milked
huovidit	be filled with a restless yearning
huovádus	restless yearning
huraidit	(continuously) hum
hurka	iron fork for digging up worms on the beach
hurri	man or boy who is heedless or does not think much what he is about or does not understand anything
hurskkis	(excessively) pious
hurvudit	caus. of hurˈvot
hurvvuhit	go shaggy etc.; go bewildered etc.
hutkalas	who is always busy thinking about something he wants to find out
hutki	device; invention; fiction
hutkkálaš	ingenious (both of things and persons); inventive
huvlliidit	smell old (of food); smell nasty (of clothes)
huvlut	get to taste or smell old (of food); get a nasty smell (of clothes)
huškkastat	a single blow with something
huškkastit	strike once
huškolas	apt to strike
hyš	hush; go away
hádja	smell
hádjosit	collapse; go to pieces altogether
hága	small enclosure; garden
háhccet	once put the legs apart or take a long step over sth
háhcci	the space between the hind legs; fork (of human legs)
háhcihit	seat oneself straddle-legged or astride
háhkalas	(too) apt to make purchases
háhku	endeavour to get or procure something
háhká	Sebastes marinus (Norway haddock)
háhkásaddat	freq. of hakkasit
háhpáhus	something added to milk to make it coagulate
háhpárahttit	catch hold of and stop someone who wants to get (run) away; snatch something that someone else is on the point of taking
háhpármahttit	catch hold of and stop someone who wants to get (run) away; snatch something that someone else is on the point of taking (= happarâtˈtet)
háhtta	hat; lamp-shade
háhtádus	tease
háikkas	crying 'hai hai' or something similar
háikkašit	dimin.-contin. of haiˈket
háikkán	one who cries 'hai hai' or something similar
háipasaddat	walk in a slouching way; behave in a giddy way (of girls)
háipá	nickname of a tall ungainly person
háissas	(strong) smelling
háissas	wild (of girls)
háistit	smell (at) something
háisut	become wild (of girls)
hájilassii	scattered about
hálan	bawler; one who continually talks and complains of others
hálbbášit	consider cheap
hálbi	cheap (of price and goods); which is of little value
hálbma-	straw
hálbudit	cause to become cheaper
hálbut	get cheap(er)
hálganit	burst oneself (with work)
hálget	cut (with saw or axe) cord-wood; cut up faggots in considerable quantities
hálihit	say a few words
hálka	Alca torda (auk)
hálkkihit	suddenly give a bark
hálkálas	apt to halˈket
hálle	name of a bitch
hállu	desire (for or to do something)
hálset	hold on to the sail and shorten sail when the skipper gives the order
hálssas	gaping (of an article of clothing)
hálti	approximately indicated direction
hálti	small stick which is used for taking meat out of a cooking pot and as a roasting-spit
hámmelheanni	Sea Lapp woman
hámsolas	apt to snap
hámsson	dog who snaps
hámssádit	suddenly snap at
hámsut	snap (at)
hánar	skinflint
hárbmalas	who easily gets annoyed
hárdoheapme	narrow-shouldered
hárdohuvvat	become narrow-shouldered
hárdu	the back between the shoulders
hárdui	broad-shouldered
hárjehit	accustom to (doing) something; accustom oneself to (doing) something
hárjjil	with a ridge like the top of a roof (e. g. of a heap of something)
hárpmastuvvat	be on the point of becoming annoyed
hárpá	harp
hárre	Thymallus thymallus (grayling)
hárva	harrow
hárve	seldom
hárvii	seldom (= harˈvĕ)
hárát	rake; rake-like implement
hárčasaddat	kick (with the legs very wide apart) in all directions
hárččet	forked birch branch which is lashed to the two thinner legs of the trestle of an enclosure for catching salmon
hárččihit	seat oneself straddle-legged or astride
hárččil	(constantly) with the legs wide apart
hástalus	challenge
hásttašit	dimin.-freq. of hasˈtet
hátná	cock of a gun
hávda	Somateria mollissima (eider-duck)
hávdádit	bury
hávga	Esox lucius (pike)
hávgarássi	species of grass growing in water
hávil	at a time
hávkadahttit	have (animal) killed by suffocation or drowning; happen (inadvertently) to kill by suffocation or drowning
hávrragit	become rancid (= hawˈrot)
hávrravuohta	rancidness
hávrriidit	taste or smell rancid
hávrut	become rancid
hávskkohallat	amuse oneself
hávskkuhit	amuse oneself (= hāwskutâdˈdât)
hávvar	oat(s)
hávvi	wound
hávvudit	wound severely
hávvádahttit	wound
hávvádit	wound v. (= havvadâtˈtet)
háŋgu	bundles of sticks used as a continuation of the čuollo of an enclosure for catching salmon
háŋgut	toss hay up with a hayfork
háŋka	bunch (something put together in a bunch); the hook on a spoon-bait
háŋkasaddat	go about in a flock (esp. of boys and girls together)
háŋkasit	go somewhere in a flock
idja	night
idjaloddi	Nyctala Tengmalmi (bird of death) [Aegolious funereus (Tengmalm's owl)]
iežáhus	change
ihkkon	aperture in the wall of a cow-house or stable (out of which the dung is thrown)
ihkku	at night
ihtalupmi	rash (of small spots)
ihtamas	rash (of small spots) (= ittâm)
ihttenaš	already the day after
ihttin	tomorrow
ihttot	get a rash (of small spots)
ii	3rd pers. sing. pres. etc. of the neg. verb.
ikte	yesterday
ilbmi	world; air
ilá	too (= overmuch)
imaštallat	freq. of imâštit
imaštit	wonder at sth
ipmil	God; god
irgi	suitor; sweetheart; bridegroom
irján	the last of the summer-nights
irvi	otter's burrow
isidaš	he (she) and his (her) master; she and her husband
iskkadeaddji	spy (relig.)
iskor	issurâs as an adverb of degree
it	2nd pers. sing. present etc. of the negative verb
itnut	low softly (of sound)
ivdni	colour
ivnnehuvvat	lose colour; (fig.) become coarse in one's way of speaking
iđedis	in the morning; this morning (retrospective); early tomorrow morning
iđit	morning
ja	and
jabbolas	apt to stare
jagŋi	which easily becomes as dry as a bone
jagŋil	which easily becomes as dry as a bone (= jâgˈŋe)
jahki	year
jahlidit	gnaw (at)
jahtat	work hard for some time at cutting down
jakkaldit	cut across or through (sth hard)
jakŋat	become as dry as a bone
jalahas	complete cloudlessness
jalgadas	treeless plain
jalggáš	flat country (without forest); large flat area
jalkkihit	fall bump (of sth heavy); make a cracking noise
jalkát	lie or stand like a log
jalvi	short still stretch of water between two waterfalls or large rapids
jalŋŋis	stump of a tree (still rooted in the ground)
janzzahit	go big and fat
jaraidit	(for some time) creak
jarffahit	go fat and short
jarffas	fat and short
jarfái	fat and short (= jârfâs)
jargŋa	bulge on sth; projecting ring on a kettle or pot; the middle of a lake
jargŋi	thing with a large bulge on it
jaril	with jârre-knot(s) on it
jarin	slight widening of a river
jarkŋasmit	bulge
jarkŋil	with a bulge on it
jarra	creaking sound (like snow)
jarrat	creak (like snow)
jarri	knot-like protuberance on wood; protuberance on a bone; knot on a tendon; incipient abscess
